Variety Name,botanical_variety,Origin,cluster,soluble_solids,glucose,fructose,citric_acid
Jelly_Bean_Hybrid,NA,,transitional,4.08,13.46,15.74,0.32
Jetsonic_Hybrid,NA,,modern,5.36,16.67,20.39,0.35
Marcellino_Hybrid,NA,,transitional,5.03,16.24,18.13,0.27
Mortgage_Lifter,NA,,heirloom,4.32,13.31,15.91,0.27
Parks_Whopper,NA,,modern,6.29,20.64,23.08,0.29
SuperSweet_100_Hybrid,NA,,transitional,6.66,21.56,25.15,5.51
Yellow_Jelly_Bean,NA,,heirloom,5.55,17.43,21.09,4.96
LA1388,S. lycopersicum var cerasiforme,Peru,heirloom,4.08,10.94,12.64,3.42
Moneymaker,NA,,transitional,4.30,12.98,17.10,NA
Alisa Craig,NA,,transitional,4.23,12.82,15.15,0.71
Rutgers,NA,,heirloom,4.50,13.46,14.68,NA
,NA,EL SALVADOR,heirloom,4.13,11.14,12.79,3.98
Chiclayo,S. lycopersicum,Peru,transitional,5.10,10.68,14.32,7.65
Huachinango,S. lycopersicum,Mexico,cerasiforme,4.27,9.84,13.06,3.38
LA0113,NA,,pimpinellifolium,3.40,9.75,11.42,3.07
Micro-Tom,S. lycopersicum,United States,transitional,4.70,14.86,17.65,NA
Principe Borghese,NA,Italy,heirloom,4.70,14.36,17.57,2.41
N 739 ,S. lycopersicum,Peru,transitional,4.70,14.94,17.66,NA
Poire jaune,S. lycopersicum var cerasiforme,,cerasiforme,4.47,12.23,14.73,NA
 Ferry Morse Beesteak,NA,Unknown,heirloom,4.20,13.94,16.05,NA
Utro,S. lycopersicum,Russia,modern,5.75,18.04,19.77,4.10
E-6203,S. lycopersicum,United States ,modern,5.67,22.65,22.49,NA
Vladiwostokskij 39,NA,Russia,heirloom,4.90,13.39,16.99,3.54
,NA,Spain,transitional,6.10,20.04,24.75,NA
,S. lycopersicum var cerasiforme,ZAIRE,heirloom,3.83,11.09,14.00,NA
,NA,,heirloom,3.78,9.04,12.39,2.85
,NA,Italy,heirloom,4.40,14.60,18.95,NA
,S. lycopersicum,Italy,heirloom,5.40,10.05,19.39,NA
Glacier,NA,Unknown,transitional,4.28,9.00,12.87,4.59
Ailsa Craig ,S. lycopersicum,England,transitional,3.93,11.48,15.11,NA
Nevskij,S. lycopersicum,Russia,heirloom,5.00,14.34,18.38,NA
N 2759 Enano,S. lycopersicum var cerasiforme,Argentina,heirloom,4.15,12.46,15.96,NA
Farthest North,S. lycopersicum var cerasiforme,France,heirloom,3.67,11.00,12.41,1.52
Moneymaker,S. lycopersicum,,transitional,7.13,22.52,26.31,NA
LA1456,S. lycopersicum var cerasiforme,Mexico,pimpinellifolium,4.57,12.44,15.99,4.57
Gold Nugget ,S. lycopersicum var cerasiforme,United States,cerasiforme,5.20,16.76,21.04,NA
