year,month,max_temperature,order
1914,Oct,29.06,10
1915,Oct,30.26,10
1916,Oct,30.1,10
1917,Oct,28.79,10
1918,Oct,29.89,10
1919,Oct,30.44,10
1920,Oct,29.81,10
1921,Oct,29.9,10
1922,Oct,28.49,10
1923,Oct,29.6,10
1924,Oct,29.17,10
1925,Oct,29.06,10
1926,Oct,31.05,10
1927,Oct,30.48,10
1928,Oct,29.3,10
1929,Oct,29.72,10
1930,Oct,28.93,10
1931,Oct,31.12,10
1932,Oct,30.9,10
1933,Oct,31.49,10
1934,Oct,29.37,10
1935,Oct,29.02,10
1936,Oct,31.34,10
1937,Oct,29.35,10
1938,Oct,30.25,10
1939,Oct,30.4,10
1940,Oct,27.75,10
1941,Oct,32.07,10
1942,Oct,31.13,10
1943,Oct,32.11,10
1944,Oct,31.32,10
1945,Oct,32.51,10
1946,Oct,30.41,10
1947,Oct,29.53,10
1948,Oct,30.64,10
1949,Oct,28.23,10
1950,Oct,29.84,10
1951,Oct,31.7,10
1952,Oct,30.26,10
1953,Oct,29.36,10
1954,Oct,30.01,10
1955,Oct,28.68,10
1956,Oct,30.18,10
1957,Oct,31.29,10
1958,Oct,29.83,10
1959,Oct,30.63,10
1960,Oct,30.93,10
1961,Oct,31.8,10
1962,Oct,28.98,10
1963,Oct,31.79,10
1964,Oct,29.48,10
1965,Oct,31.51,10
1966,Oct,30.36,10
1967,Oct,32.67,10
1968,Oct,30.07,10
1969,Oct,30.05,10
1970,Oct,30.2,10
1971,Oct,28.95,10
1972,Oct,29.92,10
1973,Oct,30.47,10
1974,Oct,29.79,10
1975,Oct,29.41,10
1976,Oct,31.11,10
1977,Oct,32.3,10
1978,Oct,31.53,10
1979,Oct,31.19,10
1980,Oct,29.97,10
1981,Oct,30.65,10
1982,Oct,29.9,10
1983,Oct,31.42,10
1984,Oct,31.98,10
1985,Oct,30.57,10
1986,Oct,29.44,10
1987,Oct,30.17,10
1988,Oct,30.96,10
1989,Oct,30.05,10
1990,Oct,31,10
1991,Oct,29.41,10
1992,Oct,29.2,10
1993,Oct,29.6,10
1994,Oct,30.36,10
1995,Oct,30.13,10
1996,Oct,29.71,10
1997,Oct,30.45,10
1998,Oct,30.54,10
1999,Oct,30.73,10
2000,Oct,31.06,10
2001,Oct,30.63,10
2002,Oct,32.4,10
2003,Oct,32.03,10
2004,Oct,31.05,10
2005,Oct,29.27,10
2006,Oct,31.56,10
2007,Oct,31.68,10
2008,Oct,30.06,10
2009,Oct,31.94,10
2010,Oct,29.69,10
2011,Oct,30.56,10
2012,Oct,32.42,10
2013,Oct,30.78,10
2014,Oct,33.7,10
2015,Oct,29.81,10
2016,Oct,30.02,10
2017,Oct,30.29,10
2018,Oct,29.63,10
2019,Oct,30.79,10
2020,Oct,33.1,10
1901,Nov,32.45,11
1902,Nov,32.45,11
1903,Nov,31.64,11
1904,Nov,31.05,11
1905,Nov,30.86,11
1906,Nov,32.66,11
1907,Nov,32.66,11
1908,Nov,32.15,11
1909,Nov,31.55,11
1910,Nov,32.26,11
1911,Nov,32.13,11
1912,Nov,32.09,11
1913,Nov,32.15,11
1914,Nov,31.28,11
1915,Nov,31.65,11
1916,Nov,32.84,11
1917,Nov,30.89,11
1918,Nov,32.36,11
1919,Nov,32.78,11
1920,Nov,32.61,11
1921,Nov,31.43,11
1922,Nov,32.32,11
1923,Nov,32.13,11
1924,Nov,31.25,11
1925,Nov,32.54,11
1926,Nov,32.96,11
1927,Nov,32.62,11
1928,Nov,32.54,11
1929,Nov,32.86,11
1930,Nov,31.55,11
1931,Nov,30.64,11
1932,Nov,33.32,11
1933,Nov,32.58,11
1934,Nov,32.23,11
1935,Nov,32.34,11
1936,Nov,32.72,11
1937,Nov,33.46,11
1938,Nov,32.91,11
1939,Nov,30.58,11
1940,Nov,31.14,11
1941,Nov,31.71,11
1942,Nov,34.53,11
1943,Nov,32.44,11
1944,Nov,32.76,11
1945,Nov,32.1,11
1946,Nov,33.81,11
1947,Nov,32.99,11
1948,Nov,31.94,11
1949,Nov,33.6,11
1950,Nov,32.23,11
1951,Nov,32.74,11
1952,Nov,31.93,11
1953,Nov,33.02,11
1954,Nov,34.63,11
1955,Nov,33.53,11
1956,Nov,31.29,11
1957,Nov,31.77,11
1958,Nov,32.37,11
1959,Nov,31.58,11
1960,Nov,32.04,11
1961,Nov,32.79,11
1962,Nov,35.12,11
1963,Nov,32.87,11
1964,Nov,32.64,11
1965,Nov,31.61,11
1966,Nov,33.63,11
1967,Nov,32.09,11
1968,Nov,34.39,11
1969,Nov,32.42,11
1970,Nov,31.37,11
1971,Nov,33.49,11
1972,Nov,31.23,11
1973,Nov,31.83,11
1974,Nov,33.62,11
1975,Nov,31.48,11
1976,Nov,32.96,11
1977,Nov,31.93,11
1978,Nov,32.26,11
1979,Nov,31.41,11
1980,Nov,30.4,11
1981,Nov,31.88,11
1982,Nov,30.74,11
1983,Nov,31.53,11
1984,Nov,30.12,11
1985,Nov,33.96,11
1986,Nov,31.73,11
1987,Nov,32.43,11
1988,Nov,34.29,11
1989,Nov,32.34,11
1990,Nov,32.97,11
1991,Nov,30.74,11
1992,Nov,30.22,11
1993,Nov,32,11
1994,Nov,31.45,11
1995,Nov,34.46,11
1996,Nov,31.88,11
1997,Nov,31.92,11
1998,Nov,31.92,11
1999,Nov,31.55,11
2000,Nov,30.68,11
2001,Nov,32.09,11
2002,Nov,32.83,11
2003,Nov,33.5,11
2004,Nov,30.76,11
2005,Nov,33.02,11
2006,Nov,31.57,11
2007,Nov,32.14,11
2008,Nov,33.34,11
2009,Nov,34.48,11
2010,Nov,32.32,11
2011,Nov,32.85,11
2012,Nov,32.91,11
2013,Nov,33.03,11
2014,Nov,32.01,11
2015,Nov,30.83,11
2016,Nov,31.02,11
2017,Nov,32.6,11
2018,Nov,31.52,11
2019,Nov,34.41,11
2020,Nov,34.04,11
1901,Dec,34.65,12
1902,Dec,34.38,12
1903,Dec,32.72,12
1904,Dec,32.34,12
1905,Dec,32.88,12
1906,Dec,33.62,12
1907,Dec,34.63,12
1908,Dec,33.34,12
1909,Dec,32.83,12
1910,Dec,32.92,12
1911,Dec,34.1,12
1912,Dec,34.66,12
1913,Dec,33.34,12
1914,Dec,33.29,12
1915,Dec,33.8,12
1916,Dec,33.11,12
1917,Dec,34.52,12
1918,Dec,33.46,12
1919,Dec,34.7,12
1920,Dec,34,12
1921,Dec,34.95,12
1922,Dec,33.21,12
1923,Dec,33.64,12
1924,Dec,34.34,12
1925,Dec,34.25,12
1926,Dec,33.32,12
1927,Dec,33.17,12
1928,Dec,33.12,12
1929,Dec,34.74,12
1930,Dec,34.4,12
1931,Dec,34.92,12
1932,Dec,34.42,12
1933,Dec,34.22,12
1934,Dec,34.26,12
1935,Dec,34.82,12
1936,Dec,34.77,12
1937,Dec,34.64,12
1938,Dec,34.83,12
1939,Dec,32.21,12
1940,Dec,35.81,12
1941,Dec,34.22,12
1942,Dec,35.82,12
1943,Dec,34.92,12
1944,Dec,35.82,12
1945,Dec,34.27,12
1946,Dec,33.51,12
1947,Dec,35.23,12
1948,Dec,36.05,12
1949,Dec,34.55,12
1950,Dec,34.94,12
1951,Dec,33.84,12
1952,Dec,34.67,12
1953,Dec,35.12,12
1954,Dec,35.05,12
1955,Dec,34.18,12
1956,Dec,34.13,12
1957,Dec,34.74,12
1958,Dec,32.95,12
1959,Dec,33.57,12
1960,Dec,34.81,12
1961,Dec,34.86,12
1962,Dec,36.61,12
1963,Dec,35.08,12
1964,Dec,33.4,12
1965,Dec,32.25,12
1966,Dec,33.87,12
1967,Dec,36.89,12
1968,Dec,35.6,12
1969,Dec,34.58,12
1970,Dec,35.49,12
1971,Dec,35.66,12
1972,Dec,32.87,12
1973,Dec,32.72,12
1974,Dec,33.28,12
1975,Dec,34.23,12
1976,Dec,34.34,12
1977,Dec,33.84,12
1978,Dec,34.58,12
1979,Dec,32.5,12
1980,Dec,33.86,12
1981,Dec,33.48,12
1982,Dec,32.86,12
1983,Dec,35.58,12
1984,Dec,31.19,12
1985,Dec,36.19,12
1986,Dec,33.37,12
1987,Dec,33.09,12
1988,Dec,35.85,12
1989,Dec,34.21,12
1990,Dec,33.5,12
1991,Dec,33.61,12
1992,Dec,33.37,12
1993,Dec,33.78,12
1994,Dec,35.37,12
1995,Dec,35.31,12
1996,Dec,32.61,12
1997,Dec,34.27,12
1998,Dec,33.32,12
1999,Dec,34.34,12
2000,Dec,33.31,12
2001,Dec,33.68,12
2002,Dec,32.73,12
2003,Dec,32.35,12
2004,Dec,32.96,12
2005,Dec,33.93,12
2006,Dec,34.61,12
2007,Dec,34.07,12
2008,Dec,35.14,12
2009,Dec,32.95,12
2010,Dec,34.3,12
2011,Dec,34.24,12
2012,Dec,34.93,12
2013,Dec,36.26,12
2014,Dec,33.11,12
2015,Dec,33.34,12
2016,Dec,33.2,12
2017,Dec,34.98,12
2018,Dec,33.9,12
2019,Dec,34.15,12
2020,Dec,34.27,12
