iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million
NZL,Oceania,New Zealand,01/02/22,14306,51,58.143,2790.707,9.949,11.342
NZL,Oceania,New Zealand,01/03/22,14365,59,61.857,2802.216,11.509,12.067
NZL,Oceania,New Zealand,01/04/22,14405,40,59.857,2810.019,7.803,11.676
NZL,Oceania,New Zealand,01/05/22,14467,62,58.571,2822.113,12.094,11.426
NZL,Oceania,New Zealand,01/06/22,14525,58,58.143,2833.428,11.314,11.342
NZL,Oceania,New Zealand,01/07/22,14525,0,58.143,2833.428,0,11.342
NZL,Oceania,New Zealand,01/08/22,14673,148,59.714,2862.298,28.871,11.649
NZL,Oceania,New Zealand,01/09/22,14733,60,61,2874.003,11.704,11.899
NZL,Oceania,New Zealand,01/10/22,14756,23,55.857,2878.489,4.487,10.896
NZL,Oceania,New Zealand,01/11/22,14848,92,63.286,2896.436,17.947,12.345
NZL,Oceania,New Zealand,01/12/22,14887,39,60,2904.044,7.608,11.704
NZL,Oceania,New Zealand,01/13/22,14947,60,60.286,2915.748,11.704,11.76
NZL,Oceania,New Zealand,01/14/22,15001,54,68,2926.282,10.534,13.265
NZL,Oceania,New Zealand,01/15/22,15069,68,56.571,2939.547,13.265,11.036
NZL,Oceania,New Zealand,01/16/22,15127,58,56.286,2950.861,11.314,10.98
NZL,Oceania,New Zealand,01/17/22,15170,43,59.143,2959.249,8.388,11.537
NZL,Oceania,New Zealand,01/18/22,15249,79,57.286,2974.66,15.411,11.175
NZL,Oceania,New Zealand,01/19/22,15334,85,63.857,2991.241,16.581,12.457
NZL,Oceania,New Zealand,01/20/22,15401,67,64.857,3004.311,13.07,12.652
NZL,Oceania,New Zealand,01/21/22,15479,78,68.286,3019.527,15.216,13.321
NZL,Oceania,New Zealand,01/22/22,15550,71,68.714,3033.377,13.85,13.404
NZL,Oceania,New Zealand,01/23/22,15625,75,71.143,3048.007,14.63,13.878
NZL,Oceania,New Zealand,01/24/22,15687,62,73.857,3060.102,12.094,14.407
NZL,Oceania,New Zealand,01/25/22,15745,58,70.857,3071.416,11.314,13.822
NZL,Oceania,New Zealand,01/26/22,15842,97,72.571,3090.338,18.922,14.157
NZL,Oceania,New Zealand,01/27/22,15991,149,84.286,3119.404,29.066,16.442
NZL,Oceania,New Zealand,01/28/22,16146,155,95.286,3149.64,30.236,18.588
NZL,Oceania,New Zealand,01/29/22,16286,140,105.143,3176.95,27.31,20.51
NZL,Oceania,New Zealand,01/30/22,16416,130,113,3202.31,25.359,22.043
NZL,Oceania,New Zealand,01/31/22,16620,204,133.286,3242.104,39.795,26
NZL,Oceania,New Zealand,02/01/22,16817,197,153.143,3280.534,38.429,29.874
NZL,Oceania,New Zealand,02/02/22,17005,188,166.143,3317.207,36.674,32.41
NZL,Oceania,New Zealand,02/03/22,17277,272,183.714,3370.267,53.06,35.838
NZL,Oceania,New Zealand,02/04/22,17546,269,200,3422.742,52.474,39.014
NZL,Oceania,New Zealand,02/05/22,17773,227,212.429,3467.023,44.281,41.439
NZL,Oceania,New Zealand,02/06/22,17988,215,224.571,3508.964,41.941,43.808
NZL,Oceania,New Zealand,02/07/22,18253,265,233.286,3560.658,51.694,45.508
NZL,Oceania,New Zealand,02/08/22,18503,250,240.857,3609.426,48.768,46.985
NZL,Oceania,New Zealand,02/09/22,18837,334,261.714,3674.58,65.154,51.053
NZL,Oceania,New Zealand,02/10/22,19313,476,290.857,3767.435,92.854,56.738
NZL,Oceania,New Zealand,02/11/22,19777,464,318.714,3857.948,90.514,62.172
NZL,Oceania,New Zealand,02/12/22,19777,0,286.286,3857.948,0,55.846
NZL,Oceania,New Zealand,02/13/22,21573,1796,512.143,4208.298,350.35,99.905
NZL,Oceania,New Zealand,02/14/22,22328,755,582.143,4355.578,147.28,113.56
NZL,Oceania,New Zealand,02/15/22,23509,1181,715.143,4585.959,230.381,139.505
NZL,Oceania,New Zealand,02/16/22,25050,1541,887.571,4886.565,300.607,173.141
NZL,Oceania,New Zealand,02/17/22,26935,1885,1088.857,5254.277,367.712,212.406
NZL,Oceania,New Zealand,02/18/22,28751,1816,1282,5608.529,354.252,250.083
NZL,Oceania,New Zealand,02/19/22,31087,2336,1615.714,6064.218,455.689,315.181
NZL,Oceania,New Zealand,02/20/22,33317,2230,1677.714,6499.229,435.012,327.276
NZL,Oceania,New Zealand,02/21/22,36162,2845,1976.286,7054.211,554.981,385.519
NZL,Oceania,New Zealand,02/22/22,39345,3183,2262.286,7675.126,620.916,441.31
NZL,Oceania,New Zealand,02/23/22,45473,6128,2917.571,8870.53,1195.404,569.138
NZL,Oceania,New Zealand,02/24/22,57497,12024,4366,11216.082,2345.551,851.686
NZL,Oceania,New Zealand,02/25/22,71122,13625,6053,13873.944,2657.862,1180.774
NZL,Oceania,New Zealand,02/26/22,71122,0,5719.286,13873.944,0,1115.675
NZL,Oceania,New Zealand,02/27/22,86138,15016,7545.857,16803.152,2929.208,1471.989
NZL,Oceania,New Zealand,02/28/22,118812,32674,11807.143,23176.95,6373.798,2303.249
NZL,Oceania,New Zealand,03/01/22,142918,24106,14796.143,27879.367,4702.417,2886.32
NZL,Oceania,New Zealand,03/02/22,166098,23180,17232.143,32401.147,4521.78,3361.517
NZL,Oceania,New Zealand,03/03/22,188680,22582,18740.429,36806.274,4405.127,3655.742
NZL,Oceania,New Zealand,03/04/22,207562,18882,19491.429,40489.632,3683.358,3802.241
NZL,Oceania,New Zealand,03/05/22,222767,15205,21663.571,43455.709,2966.077,4225.966
NZL,Oceania,New Zealand,03/06/22,240319,17552,22025.857,46879.621,3423.912,4296.638
NZL,Oceania,New Zealand,03/07/22,264255,23936,20777.571,51548.875,4669.255,4053.132
NZL,Oceania,New Zealand,03/08/22,286750,22495,20547.429,55937.031,4388.155,4008.238
NZL,Oceania,New Zealand,03/09/22,286750,0,17236,55937.031,0,3362.269
NZL,Oceania,New Zealand,03/10/22,307803,21053,17017.571,60043.891,4106.861,3319.66
NZL,Oceania,New Zealand,03/11/22,347576,39773,20002,67802.509,7758.617,3901.84
NZL,Oceania,New Zealand,03/12/22,362109,14533,19906,70637.497,2834.988,3883.113
NZL,Oceania,New Zealand,03/13/22,377685,15576,19623.714,73675.946,3038.449,3828.046
NZL,Oceania,New Zealand,03/14/22,399342,21657,19298.143,77900.63,4224.684,3764.536
NZL,Oceania,New Zealand,03/15/22,399342,0,16084.571,77900.63,0,3137.657
NZL,Oceania,New Zealand,03/16/22,438477,39135,21675.286,85534.791,7634.161,4228.252
NZL,Oceania,New Zealand,03/17/22,452670,14193,20695.286,88303.455,2768.664,4037.08
NZL,Oceania,New Zealand,03/18/22,471225,18555,17664.143,91923.024,3619.57,3445.788
NZL,Oceania,New Zealand,03/19/22,483222,11997,17301.857,94263.309,2340.284,3375.116
NZL,Oceania,New Zealand,03/20/22,497731,14509,17149.429,97093.615,2830.306,3345.381
NZL,Oceania,New Zealand,03/21/22,518685,20954,17049,101181.164,4087.549,3325.791
NZL,Oceania,New Zealand,03/22/22,538839,20154,19928.143,105112.654,3931.491,3887.432
NZL,Oceania,New Zealand,03/23/22,557330,18491,16979,108719.739,3607.085,3312.135
